source,url,company,title,role_cluster,location_remote_start,industry,main_tasks,work_pattern,tools_systems,must_skills,nice_to_have,already_have,gap_blocking,gap_learnable,gap_bonus,experience_required,entry_realistic,growth_value,interest,decision,priority,application_deadline,next_action,notes,tags,date_posted
snapshot-stepstone,https://www.stepstone.de/jobs/data-quality-specialist/in-hamburg,Unklar / StepStone Treffer,Data Quality Specialist Hamburg,Data Quality,Hamburg / Norderstedt / Europa,IT / Data,"Datenqualitaet, Kommunikation und operative Datenprozesse unterstuetzen",Data Quality Operations,SAP/Office moeglich,"Data Quality, Kommunikation, Englisch","SAP, Crossfunktionalitaet","Datenqualitaet, Struktur",Direkter Arbeitgeber fehlt,SAP/Tools lernbar,IT-Domaene,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;data-quality;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-indeed,https://de.indeed.com/q-data-quality-jobs.html,The Quality Group GmbH,Data Architect (gn) - Master Data Management,Master Data / Data Quality,Hamburg / Homeoffice-Möglichkeit,Consumer / Data,Master Data Management und Datenqualitaet verantworten,MDM + Data Architecture,"MDM Tools, Data Architecture","Master Data, Data Quality, Architektur",Architektur-Erfahrung,"Datenqualitaet, Ordnungssysteme",Architect-Level kann blockieren,MDM-Begriffe lernbar,Architektur,Erfahrung erwartet,Später,Hoch,Mittel,beobachten,niedrig,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;data-quality;hamburg;senior-risk;research-snapshot;2026-06-21;metadata-information-management,
snapshot-indeed,https://de.indeed.com/q-content-review-l-home-office-jobs.html,zvoove Group GmbH,AI Knowledge Specialist (m/w/d) - Conversational Systems & Content Governance,AI Knowledge / Content Governance,Home Office,Software / AI,"KI-Wissensinhalte, Content Governance und Conversational Systems mitgestalten",AI Knowledge + Governance,"Knowledge Systems, AI Tools","Knowledge Management, Content Governance, AI",Conversational AI,"Wissensorganisation, Dokumentation",AI-System-Tiefe evtl. anspruchsvoll,Conversational-AI-Grundlagen lernbar,Content Governance,Erfahrung unklar,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;ai-knowledge;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-indeed,https://de.indeed.com/q-api-documentation-jobs.html,Pliant,Solutions Engineer Remote mit API Documentation,Technical Support / API Documentation,Deutschland / Remote,Fintech / API,"Kundenfeedback, API-Plattform und technische Dokumentation verbinden",Solutions + Documentation,"API, Documentation, Fintech","API-Verstaendnis, technische Kommunikation",Solutions Engineering,"HTML/CSS/JS-Basics, Doku",Solutions-Engineer-Erfahrung kann blockieren,API-Grundlagen lernbar,Fintech-Domaene,Erfahrung gewuenscht,Später,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;api-documentation;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-xing,https://www.xing.com/jobs/data-quality-analyst-jobs-in-hamburg,Vesterling AG,Technischer Mitarbeiter Datenqualität | Homeoffice,Data Quality / Technical Data,Hamburg / Homeoffice,IT / Data Quality,"Datenqualitaet technisch pflegen, Fehler analysieren und Datenprozesse verbessern",Data Quality Operations,"Datenbanksysteme, Office/BI moeglich","Datenqualitaet, technische Datenpflege, Analyse",SQL/BI,"Datenqualitaet, Struktur, technische Lernfaehigkeit",Tool-/Systemtiefe unklar,SQL/BI auffrischen,Technische Datenprozesse,Erfahrung unklar,Ja / Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;data-quality;hamburg;homeoffice;research-snapshot;2026-06-21;metadata-information-management,
snapshot-xing,https://www.xing.com/jobs/produktdaten-jobs-in-hamburg,Yogi Tea GmbH,Quality & Data Specialist (m/f/x) - PIM & Master Data Management,PIM / Master Data,Hamburg / Vollzeit,Consumer Goods / Product Data,"PIM und Master Data pflegen, Datenqualitaet sichern",Product Data + PIM,"PIM, MDM, Produktdaten","Master Data, PIM, Data Quality",Consumer Goods,"Metadaten, Taxonomie, Datenqualitaet",PIM-Praxis fehlt,PIM/MDM-Tools lernbar,Produktdaten-Domaene,Erfahrung unklar,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;pim;master-data;hamburg;research-snapshot;2026-06-21;metadata-information-management,2 days ago
snapshot-xing,https://www.xing.com/jobs/data-quality-analyst-jobs-in-hamburg,Jobriver HR Service,Master Data Analyst (m/w/d),Master Data Analyst,Hamburg,Data / Analytics,"Stammdaten analysieren, pflegen und Datenqualitaet verbessern",Master Data Operations,"Excel, ERP/MDM moeglich","Master Data, Analyse, Datenqualitaet",ERP/MDM,"Datenstruktur, Recherche, Datenqualitaet",ERP/Tool-Erfahrung unklar,ERP/MDM lernbar,Business-Domaene,Erfahrung unklar,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;master-data;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-xing,https://www.xing.com/jobs/technical-writer-jobs-in-hamburg,Tomra Sorting GmbH,Technical Writer,Technical Documentation,Wedel / Hamburg-nahe,Industrial Tech,Technische Dokumentation fuer Produkte erstellen,Technische Redaktion,"Redaktionssysteme, Office","Technical Writing, Englisch/Deutsch",Industrie-/Produktwissen,"Doku, Struktur, Recherche",Technikdomaene kann fehlen,Redaktionssysteme lernbar,Industrie-Domaene,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;technical-writer;hamburg;research-snapshot;2026-06-21;metadata-information-management,7 days ago
snapshot-xing,https://www.xing.com/jobs/technical-writer-jobs-in-hamburg,DIS AG Germany,Technical Writer (m/w/d),Technical Documentation,Hamburg,Technical Documentation / Staffing,Technische Dokumentation fuer Kunden-/Projektumfeld erstellen,Technische Redaktion,"Office, Redaktionssysteme","Technische Doku, Deutsch/Englisch",Projektarbeit,"Doku, Schreiben, Struktur",Technische Redaktionserfahrung unklar,Tooling lernbar,Branchentechnik,Erfahrung unklar,Vielleicht,Mittel,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;technical-writer;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-xing,https://www.xing.com/jobs/technical-writer-jobs-in-hamburg,Nordgreif GmbH,Technischer Redakteur (m/w/d) zur Dokumentationserstellung,Technical Documentation,Hamburg,Engineering / Documentation,Technische Dokumentationen erstellen und pflegen,Technische Redaktion,"Office, Redaktionssysteme","Dokumentation, Technikverstaendnis, Deutsch",CAD/Normen moeglich,"Doku, Recherche, Struktur",Technische Fachdomäne kann fehlen,Normen/Tools lernbar,Engineering-Domain,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;technical-documentation;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-xing,https://www.xing.com/jobs/fully-junior-technical-writer-153993886,noris network AG,(Junior) Technical Writer / (Junior) Technischer Redakteur (m/w/d),Junior Technical Writer,Berlin / Deutschland,IT / Technical Documentation,"Technische Inhalte schreiben, Dokumentationen pflegen",Junior Technical Writing,"Docs, IT-Produkte","Technische Doku, Deutsch, Englisch",IT-Infrastruktur,"Doku, Struktur, IT-Grundlagen",Ort/Remote klaeren,IT-Fachbegriffe lernbar,Infrastruktur-Domaene,Junior,Ja,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;direct;numbered-url;junior-technical-writer;research-snapshot;2026-06-21;metadata-information-management,3 days ago
snapshot-remotive,https://remotive.com/remote-jobs/o-data-quality-analyst,Remotive Aggregated,Data Quality Analyst,Data Quality Analyst,Remote / weltweit oder USA je Treffer,Data / QA,"Datenqualitaet pruefen, Reporting und Monitoring unterstuetzen",Data Quality,QA/Analytics Tools,"Data Quality, Analysis, Genauigkeit",SQL/BI,"Datenqualitaet, Struktur",Einzelanzeige nicht direkt sichtbar,Tools je Anzeige lernbar,Branche offen,Mid-Level haeufig,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,remotive;category-page;data-quality;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-remotive,https://remotive.com/remote-jobs/o-knowledge-management-specialist,Remotive Aggregated,Knowledge Base/AI Specialist/QA,Knowledge Base / AI QA,Remote / je Treffer,Knowledge Management / QA,Knowledge Base und AI-/QA-Inhalte pflegen,Knowledge Ops + QA,"KB Tools, AI Tools","Knowledge Base, QA, Content Governance",AI Tools,"Wissensmanagement, Doku",Einzelanzeige nicht direkt sichtbar,KB-/AI-Tools lernbar,Content Governance,Mid bis Senior,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,remotive;category-page;knowledge-management;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-remotive,https://remotive.com/remote-jobs/o-knowledge-management-specialist,Remotive Aggregated,Knowledge Management Writer,Knowledge Management / Writing,Remote / je Treffer,Writing / Knowledge Ops,"Knowledge-Inhalte schreiben, pflegen und strukturieren",Writing + Wissensmanagement,"Knowledge Base, CMS","Schreiben, Knowledge Management, Struktur",Content Ops,"Doku, Struktur, Schreiben",Einzelanzeige nicht direkt sichtbar,CMS/KB-Tools lernbar,KM-Domain,Mid-Level haeufig,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,remotive;category-page;knowledge-writing;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-weworkremotely,https://weworkremotely.com/company/clerky,Clerky,Customer Operations & Writing Specialist,Customer Operations / Writing,Worldwide / Remote,Legal Tech,"Kundenkommunikation, Help Content und anspruchsvolle Schreibarbeit",Customer Ops + Writing,"Email, Help Center","Writing, Critical Thinking, Customer Support",Legal-Tech,"Schreiben, Struktur, Detailgenauigkeit",Gehalt/Region pruefen,Legal-Tech lernbar,Customer-Ops-Erfahrung,Entry bis Mid,Ja,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,weworkremotely;company-page;remote;writing;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/metadaten/in-hamburg,Recherche-Snapshot StepStone,Metadata Specialist,Metadata / Information Management,Hamburg / hybrid,Information Services,"Metadaten pflegen, Datenqualitaet pruefen, Taxonomien weiterentwickeln",Metadaten + QA,"Excel, Datenbank, ggf. PIM/DAM","Metadaten, Datenqualitaet, Dokumentation","SQL, PIM/DAM","Studium Informationsmanagement, Metadaten",Toolerfahrung PIM/DAM kann fehlen,PIM/DAM Grundbegriffe,Data Governance,Junior bis Mid,Ja / Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;metadata;hamburg;research-snapshot;2026-06-21,
snapshot-linkedin,https://www.linkedin.com/jobs/search/?keywords=Metadata%20Information%20Management%20Hamburg%20Remote,Recherche-Snapshot LinkedIn,Metadata / Taxonomy Associate,Metadata / Taxonomy,Remote / Hamburg moeglich,Knowledge / Content,"Taxonomien pflegen, Inhalte klassifizieren, Suchbarkeit verbessern",Taxonomy + Content Ops,"CMS, Taxonomy Tool, Excel","Metadaten, Taxonomie, Recherche","SEO, Ontologien","Metadaten, Klassifikation, Recherche",Spezialtool unklar,Taxonomie-Tools lernbar,Ontologien,Junior moeglich,Ja,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;search-page;metadata;taxonomy;remote;research-snapshot;2026-06-21,
snapshot-indeed,https://de.indeed.com/jobs?q=Knowledge+Management+Documentation&l=Hamburg,Recherche-Snapshot Indeed,Knowledge Base Coordinator,Knowledge Management / Documentation,Hamburg / remote unklar,Operations / Support,"FAQ und Help Center strukturieren, interne Wissensartikel pflegen",Knowledge Base Ops,"Confluence, Zendesk, CMS","Dokumentation, Struktur, Kommunikation",Support-Erfahrung,"README/FAQ, strukturierte Doku",Supportsysteme unklar,Confluence/Zendesk lernen,Service Design,Junior moeglich,Ja,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;knowledge-base;documentation;research-snapshot;2026-06-21,
