source,url,company,title,role_cluster,location_remote_start,industry,main_tasks,work_pattern,tools_systems,must_skills,nice_to_have,already_have,gap_blocking,gap_learnable,gap_bonus,experience_required,entry_realistic,growth_value,interest,decision,priority,application_deadline,next_action,notes,tags,date_posted
snapshot-linkedin,https://www.linkedin.com/jobs/search/?keywords=IT%20Systemadministrator%20Hamburg%20Remote,Recherche-Snapshot LinkedIn,Junior IT System Administrator,Junior IT Administration,Hamburg / Remote moeglich,IT / Managed Services,"Clients, Benutzer, Systeme und interne Dokumentation pflegen",Support + Administration,"Windows, M365, Ticketsystem","IT-Support, Systemverstaendnis, Dokumentation","Scripting, Netzwerk","Technische Lernfaehigkeit, Dokumentation",Praxis in AD/M365 kann fehlen,M365/AD Training,Scripting,Junior / Einstieg,Ja / Vielleicht,Hoch,Mittel,genauer ansehen,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;search-page;junior-it-admin;hamburg;research-snapshot;2026-06-21,
snapshot-indeed,https://de.indeed.com/jobs?q=IT-Systemadministrator&l=Hamburg,Recherche-Snapshot Indeed,IT Administrator / Support,IT Administration / Support,Hamburg / vor Ort oder hybrid,IT Services,"Helpdesk, Systempflege, Fehleranalyse, Nutzerkommunikation",Helpdesk + Admin,"Windows, M365, Ticketsystem","Support, Troubleshooting, Kommunikation","Netzwerk, Server","Kundenkommunikation, Struktur, Dokumentation",Berufserfahrung unklar,Windows/M365 vertiefen,Server/Netzwerk,Erfahrung gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;it-support;hamburg;research-snapshot;2026-06-21,
snapshot-xing,https://www.xing.com/jobs/search?keywords=IT%20Systemadministrator%20Hamburg,Recherche-Snapshot XING,IT-Systemadministrator Hamburg,IT Systemadministration,Hamburg / hybrid unklar,IT / Infrastruktur,"Systembetrieb, Tickets, Monitoring und Dokumentation",Betrieb + Troubleshooting,"Windows Server, Netzwerk, Monitoring","Systemadministration, Netzwerk, Tickets","Linux, Cloud","Linux/Terminal, Dokumentation",Admin-Erfahrung kann fehlen,Monitoring/AD Grundlagen,Cloud,Berufserfahrung erwartet,Spaeter / Vielleicht,Hoch,Mittel,beobachten,niedrig,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;search-page;it-systemadministrator;hamburg;research-snapshot;2026-06-21,
snapshot-remotive,https://remotive.com/remote-jobs/search?search=technical%20support,Recherche-Snapshot Remotive,Technical Support Engineer,Technical Support / Remote,Remote / weltweit,SaaS / Support,"Technische Kundenanfragen analysieren, Bugs dokumentieren, Knowledge Base pflegen",Support + Dokumentation,"Helpdesk, APIs, Logs, Knowledge Base","Technischer Support, Englisch, Troubleshooting","API, SQL, SaaS","Dokumentation, Struktur, Englisch",Support-/API-Praxis kann fehlen,API/Logs/SQL lernbar,SaaS-Kontext,Erfahrung gewuenscht,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,remotive;search-page;technical-support;remote;research-snapshot;2026-06-21,
snapshot-arbeitnow,https://www.arbeitnow.com/jobs?search=IT%20Support%20Hamburg,Recherche-Snapshot Arbeitnow,IT Support Specialist,IT Support / Helpdesk,Hamburg / hybrid,IT Services,"First-/Second-Level-Support, Tickets, Anwenderdokumentation",Support Operations,"M365, Ticketsystem, Windows Clients","Kommunikation, IT-Grundlagen, Tickets",Asset Management,"Dokumentation, Prozessdenken",Ticket-Erfahrung kann fehlen,M365 und Ticket-Workflow,Netzwerkgrundlagen,Junior moeglich,Ja / Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,arbeitnow;search-page;it-support;hamburg;research-snapshot;2026-06-21,
snapshot-personio,https://www.personio.de/jobs/?query=IT%20Support%20Hamburg,Recherche-Snapshot Personio,IT Support / Workplace Services,Workplace IT / Support,Hamburg / hybrid unklar,Software / HR Tech,"Arbeitsplaetze betreuen, interne IT-Dokumentation, Onboarding-Support",Workplace IT,"M365, Mac/Windows, Identity Tools","Support, Dokumentation, Nutzerorientierung","MDM, IAM","Dokumentation, Sorgfalt",Workplace-IT Praxis fehlt,MDM/IAM Grundlagen,SaaS-Admin,Erfahrung gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,personio;search-page;workplace-it;research-snapshot;2026-06-21,
snapshot-greenhouse,https://boards.greenhouse.io/?search=IT%20Support,Recherche-Snapshot Greenhouse,IT Support Analyst,IT Support Analyst,Remote / hybrid je nach Unternehmen,Tech / Internal IT,"Interne Supporttickets, Wissensdatenbank, Systemzugriff",Internal IT,"Okta, Google Workspace, Slack, Tickets","Support, Identity, Dokumentation",Okta/Google Admin,"Struktur, Prozessdoku",IAM-Toolerfahrung fehlt,Okta/Google Admin lernbar,Automation,Erfahrung gewuenscht,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,greenhouse;search-page;it-support;research-snapshot;2026-06-21,
snapshot-lever,https://jobs.lever.co/?q=IT%20Support,Recherche-Snapshot Lever,Technical Support Specialist,Technical Support,Remote / EU moeglich,SaaS / Support,"Kundentickets analysieren, technische Fehler dokumentieren, Supportartikel pflegen",Support + Knowledge Base,"Zendesk, Jira, Logs","Troubleshooting, Kommunikation, Dokumentation",SQL/API,"Doku, Genauigkeit, Englisch",Technischer Stack kann blockieren,API/SQL Grundlagen,Customer Success,Erfahrung gewuenscht,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,lever;search-page;technical-support;research-snapshot;2026-06-21,
snapshot-ashby,https://jobs.ashbyhq.com/?q=technical%20support,Recherche-Snapshot Ashby,Support Operations Specialist,Support Operations / Knowledge Base,Remote / hybrid je nach Anbieter,SaaS Operations,"Supportprozesse strukturieren, Makros/Help Center pflegen",Operations + Doku,"Help Center, CRM, Ticketing","Support Operations, Dokumentation","Automatisierung, Reporting","Wissensorganisation, Schreiben",Support-Systeme unklar,Help-Center Tools lernbar,Operations Analytics,Junior bis Mid,Ja / Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,ashby;search-page;support-operations;research-snapshot;2026-06-21,
snapshot-weworkremotely,https://weworkremotely.com/remote-jobs/search?term=technical+support,Recherche-Snapshot WeWorkRemotely,Remote Technical Support Specialist,Remote Technical Support,Remote / weltweit,Remote SaaS,"Remote Support, Fehleranalyse, Dokumentation, Kundenkommunikation",Remote Support,"Helpdesk, Docs, Logs","Englisch, Troubleshooting, Support",SaaS/API,"Englisch, Dokumentation",Remote-Erfahrung/Zeitzonen,SaaS Support lernen,API/Logs,Entry bis Mid,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,weworkremotely;search-page;technical-support;remote;research-snapshot;2026-06-21,
snapshot-wellfound,https://wellfound.com/jobs?keyword=technical%20support,Recherche-Snapshot Wellfound,Technical Support / Operations Associate,Technical Support / Operations,Remote / Startup,Startup / SaaS,"Support, Prozesspflege, Help Center, interne Automatisierung",Startup Ops,"Helpdesk, Notion, Jira","Support, Dokumentation, Englisch","Automation, SQL","Struktur, Lernen, Dokumentation",Startup-Erfahrung fehlt,Tools schnell lernbar,Ops-Automatisierung,Junior moeglich,Ja / Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,wellfound;search-page;technical-support;startup;research-snapshot;2026-06-21,
